MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,8go,ddr4,intel,i5,6,,,256.0,ssd,,,1.28,,"2,399.00 Dhs",0 out of 5
DELL,16go,ddr3,intel,i5,6,nombred'affichagesprisenchargeparlaintégrée:3,,256.0,ssd,7200000.0,noir,1.81,6cm,"3,399.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,,,,,,,2,,"2,350.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,4,:intégrée-intelhdgraphics4600,,,,500.0,noir,2.5,,"2,299.00 Dhs",5 out of 5
Hp,12,ddr4,intel,i7,11,,,512.0,ssd,,argent,2.76,,"22,795.00 Dhs",0 out of 5
Lenovo,16go,,intel,,,descriptiondela:intégrée,,256.0,ssd,,noir,1,14pouce,"3,999.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i3,4,,,256.0,ssd,7200000.0,noiretargent,2,"14""","1,899.00 Dhs",0 out of 5
Lenovo,8gb,ddr4,amd,,3,,,512.0,ssd,,gris,1.9,,"4,550.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,4,:intelhdgraphics,,,,,noiretargent,1.5,"6""","2,799.00 Dhs",0 out of 5
Microsoft,8go,ddr4,intel,i5,10,,,128.0,ssd,,gris,1.1,cm,"7,490.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6,:intelhd520,,128.0,ssd,,noir,1.95,,"1,760.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,6,,,,,500.0,,2,"14""","2,550.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,6,:intelhdgraphics520,,,,,noir,1.6,,"2,499.00 Dhs",4 out of 5
Lenovo,,,,,,,,,,,noir,1.8,,"2,299.00 Dhs",0 out of 5
Lenovo,4gb,ddr4,amd,,3,:amdradeon,1000.0,,hdd,,noir,1.6,,"2,999.00 Dhs",0 out of 5
Hp,8gb,,intel,i7,7,:intel®hd260,,256.0,ssd,,argent,1.29,"3""","3,850.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6,:intelhdgraphics520,,240.0,ssd,,argentnoir,1.6,,"2,390.00 Dhs",4 out of 5
Lenovo,,,,,,,,,,,noir,1.8,,"2,299.00 Dhs",0 out of 5
DELL,8go,,intel,i5,6,,,,,,noir,1.36,,"3,999.00 Dhs",0 out of 5
DELL,4go,ddr3,intel,i3,4,:intelhdgraphicsfamily,,128.0,ssd,,noir,2.42,6pouce,"1,590.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6,,,512.0,ssd,,gris,2,,"3,490.00 Dhs",5 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,1000.0,,hdd,,noir,1,"6""","2,440.00 Dhs",0 out of 5
