MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Asus,,,,,,,,,,,gris,1,"6""","1,999.00 Dhs",0 out of 5
Lenovo,16go,ddr3,intel,i5,5.0,,,,ssd,,noir,2,"14""","2,399.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,10.0, : intel uhd graphics,,512.0,ssd,,gris,2,3pouce,"7,999.00 Dhs",0 out of 5
DELL,8go,ddr3,intel,i5,4.0,contrôleur graphique: intel hd graphics 4400,,128.0,ssd,,noiretargent,1.6,"5""","3,999.00 Dhs",3 out of 5
Hp,16go,ddr4,,,,,,,ssd,256.0,,1.5,,"3,550.00 Dhs",0 out of 5
Hp,16gb,ddr4,intel,i5,8.0,carte graphique intégrée  : oui,,256.0,ssd,256.0,gris,1.5,"3""","3,400.00 Dhs",4 out of 5
DELL,8go,,intel,,5.0,nombre d'affichages pris en charge par la carte graphique intégrée :   3,,,hdd,7200000.0,noir,2.5,6cm,"3,299.00 Dhs",0 out of 5
DELL,32go,,intel,i7,13.0,carte graphique : intel® iris® xe graphics,,1000.0,ssd,,,1.26,,"26,643.00 Dhs",0 out of 5
JEMCO,6go,ddr3,intel,,3.0,type de carte graphique: carte intégrée,,256.0,ssd,,gris,1.2,14pouce,"1,990.00 Dhs",0 out of 5
Lenovo,8go,ddr4,,,,,,,ssd,,noir,1.2,,"4,480.00 Dhs",3 out of 5
Hp,8go,ddr4,intel,i5,6.0,,,256.0,ssd,,grismétallisé,,"5""","2,299.00 Dhs",1 out of 5
Hp,8go,ddr4,intel,i5,6.0,,,,,,gris,1.28,,"2,360.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,8.0,carte graphique intégrée  : oui,,256.0,ssd,256.0,argentetnoir,1.48,"14""","3,299.00 Dhs",0 out of 5
DELL,16,ddr4,intel,i7,11.0,carte graphique : intel® iris® xe graphics,,512.0,ssd,,,1.46,"0""","19,160.00 Dhs",0 out of 5
Hp,00go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics,,,,,noir,1.6,"14""","2,199.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4.0,carte graphique  intel® uhd 600,,,,,bleu,2,"6""","2,140.00 Dhs",5 out of 5
Hp,4go,ddr3,intel,i5,5.0,id de la carte graphique intégrée	  :   0x1616,,,hdd,500.0,noir,1.35,8cm,"1,999.00 Dhs",4.5 out of 5
Acer,2go,,intel,,3.0,carte graphique    :   	intel hd,,,,32.0,blanc,1.6,6pouce,"1,499.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6.0,"contrôleur
     graphique : intel hd graphics 520",,840.0,ssd,,gris,1,"14""","2,999.99 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,5.0,,,256.0,ssd,,gris,1.5,,"2,300.00 Dhs",0 out of 5
Hp,00go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics,,256.0,ssd,,noir,1.6,"14""","3,299.00 Dhs",0 out of 5
