Ville,Prix,Type De Bien,Surface,Nombre De Pièces,Nombre De Chambres,Nombre De Salles De Bain,Etat De Location,Age De Location,Étage,Orientation,Jardin,Terrasse,Garage,Ascenseur,Piscine,Concierge,Meublé,Salon Marocain,Salon européen,Climatisation,Sécurité,Cuisine équipée,Réfrigérateur,Four,TV,Micro-ondes,Animaux domestiques autorisés,Type du sol,Cheminée
rabat,9 500 DH,Appartement,Nan,4 Pièces,3 Chambres,2 Salles de bains,Nan,Nan,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Nan,Oui
rabat,9 000 DH,Appartement,143m²,1 Pièce,3 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Nan,Non
rabat,15 000 DH,Maison,300m²,6 Pièces,3 Chambres,2 Salles de bains,Nan,Nan,Nan,Nan,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non
rabat,20 000 DH,Maison,207m²,5 Pièces,3 Chambres,2 Salles de bains,Nan,Nan,Nan,Nan,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non
rabat,7 500 DH,Appartement,71m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,Nan,3èmeétage,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non
rabat,17 000 DH,Appartement,100m²,7 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,Nan,Nan,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,"
 Marbre",Oui
rabat,7 500 DH,Appartement,Nan,3 Pièces,2 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non
rabat,9 000 DH,Appartement,95m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,3èmeétage,"
 Nord",Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Non
rabat,8 000 DH,Appartement,90m²,3 Pièces,2 Chambres,3 Salles de bains,Nouveau,Nan,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Nan,Non
rabat,6 500 DH,Appartement,75m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,Nan,Nan,Nan,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non
rabat,9 000 DH,Appartement,170m²,5 Pièces,3 Chambres,3 Salles de bains,Nan,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Nan,Oui
